18.8s 1 Index(['release_date', 'runtime', 'year', 'month'], dtype='object')
19.2s 2 Start training
19.2s 3 total epoch=5000,learning rate=0.1
19.2s 4 epoch1 MAE=0.952 RMSE=1.304
19.6s 5 epoch101 MAE=0.768 RMSE=1.131
19.9s 6 epoch201 MAE=0.728 RMSE=1.090
20.2s 7 epoch301 MAE=0.704 RMSE=1.066
20.4s 8 epoch401 MAE=0.689 RMSE=1.050
20.7s 9 epoch501 MAE=0.679 RMSE=1.039
21.0s 10 epoch601 MAE=0.672 RMSE=1.031
21.3s 11 epoch701 MAE=0.667 RMSE=1.025
21.6s 12 epoch801 MAE=0.663 RMSE=1.021
21.9s 13 epoch901 MAE=0.660 RMSE=1.018
22.2s 14 epoch1001 MAE=0.658 RMSE=1.016
22.5s 15 epoch1101 MAE=0.657 RMSE=1.014
22.8s 16 epoch1201 MAE=0.656 RMSE=1.013
23.1s 17 epoch1301 MAE=0.656 RMSE=1.012
23.4s 18 epoch1401 MAE=0.655 RMSE=1.011
23.7s 19 epoch1501 MAE=0.655 RMSE=1.010
24.0s 20 epoch1601 MAE=0.654 RMSE=1.009
24.2s 21 epoch1701 MAE=0.654 RMSE=1.009
24.5s 22 epoch1801 MAE=0.654 RMSE=1.009
24.9s 23 epoch1901 MAE=0.653 RMSE=1.008
25.2s 24 epoch2001 MAE=0.653 RMSE=1.008
25.5s 25 epoch2101 MAE=0.653 RMSE=1.008
25.7s 26 epoch2201 MAE=0.653 RMSE=1.008
26.0s 27 epoch2301 MAE=0.653 RMSE=1.007
26.3s 28 epoch2401 MAE=0.652 RMSE=1.007
26.6s 29 epoch2501 MAE=0.652 RMSE=1.007
26.9s 30 epoch2601 MAE=0.652 RMSE=1.007
27.2s 31 epoch2701 MAE=0.652 RMSE=1.007
27.5s 32 epoch2801 MAE=0.652 RMSE=1.007
27.8s 33 epoch2901 MAE=0.652 RMSE=1.007
28.1s 34 epoch3001 MAE=0.652 RMSE=1.007
28.4s 35 epoch3101 MAE=0.652 RMSE=1.006
28.7s 36 epoch3201 MAE=0.652 RMSE=1.006
29.0s 37 epoch3301 MAE=0.652 RMSE=1.006
29.3s 38 epoch3401 MAE=0.652 RMSE=1.006
29.6s 39 epoch3501 MAE=0.652 RMSE=1.006
29.9s 40 epoch3601 MAE=0.652 RMSE=1.006
30.2s 41 epoch3701 MAE=0.652 RMSE=1.006
30.5s 42 epoch3801 MAE=0.652 RMSE=1.006
30.7s 43 epoch3901 MAE=0.652 RMSE=1.006
31.0s 44 epoch4001 MAE=0.652 RMSE=1.006
31.3s 45 epoch4101 MAE=0.652 RMSE=1.006
31.6s 46 epoch4201 MAE=0.652 RMSE=1.006
31.9s 47 epoch4301 MAE=0.652 RMSE=1.006
32.2s 48 epoch4401 MAE=0.652 RMSE=1.006
32.5s 49 epoch4501 MAE=0.652 RMSE=1.006
32.8s 50 epoch4601 MAE=0.652 RMSE=1.006
33.1s 51 epoch4701 MAE=0.652 RMSE=1.006
33.4s 52 epoch4801 MAE=0.652 RMSE=1.006
33.7s 53 epoch4901 MAE=0.652 RMSE=1.006
