22.5s 1 start load data
28.3s 2 start process data
29.8s 3 Number of users = 100 , Number of venues = 392 , Number of venuecategorys = 40
43.1s 4 iter :0| loss :27.9403
145.4s 5 iter :10| loss :9.1253
247.5s 6 iter :20| loss :7.3591
349.2s 7 iter :30| loss :6.6935
451.1s 8 iter :40| loss :6.3584
553.0s 9 iter :50| loss :6.1535
654.9s 10 iter :60| loss :6.0145
756.8s 11 iter :70| loss :5.9161
859.1s 12 iter :80| loss :5.8454
960.8s 13 iter :90| loss :5.7943
1053.0s 14 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8789 |nDCG@5 :1.0000 |nDCG@10 :0.9306
1053.0s 15 Recall :0.5000 |AP@5 :0.2417 |AP@10 :0.3798 |nDCG@5 :0.6548 |nDCG@10 :0.5767
1053.0s 16 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
1053.0s 17 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
1053.0s 18 Recall :0.8000 |AP@5 :0.5000 |AP@10 :0.7675 |nDCG@5 :1.0000 |nDCG@10 :0.8604
1053.0s 19 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
1053.0s 20 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.9000 |nDCG@5 :1.0000 |nDCG@10 :0.9364
1053.0s 21 Recall :0.8000 |AP@5 :0.5000 |AP@10 :0.8000 |nDCG@5 :1.0000 |nDCG@10 :0.8701
1053.0s 22 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
1053.0s 23 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8664 |nDCG@5 :1.0000 |nDCG@10 :0.9266
1053.0s 24 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
1053.0s 25 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8521 |nDCG@5 :1.0000 |nDCG@10 :0.9216
1053.0s 26 Recall :0.9000 |AP@5 :0.3550 |AP@10 :0.7904 |nDCG@5 :0.8304 |nDCG@10 :0.8900
1053.0s 27 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.8900 |nDCG@5 :1.0000 |nDCG@10 :0.9337
1053.0s 28 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
1053.0s 29 Recall :1.0000 |AP@5 :0.5000 |AP@10 :1.0000 |nDCG@5 :1.0000 |nDCG@10 :1.0000
1053.0s 30 Recall :0.9000 |AP@5 :0.5000 |AP@10 :0.9000 |nDCG@5 :1.0000 |nDCG@10 :0.9364
